paper_id,title,doi,pmid,year,journal,topic_area,discovery_query,notes
P1fc3c59d0c07,Engineered live bacteria for liver diseases and gut-liver axis disorders: from genetic modification to advanced delivery systems,10.1186/s12951-026-04483-2,42057131,2026,Journal of nanobiotechnology,genetic manipulation of non-model bacteria,"(genetic manipulation of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P6aa105775d27,A comprehensive review of genomic-scale genetic engineering as a strategy to improve bacterial productivity,10.1099/mic.0.001628,41182907,2025,"Microbiology (Reading, England)",genetic manipulation of non-model bacteria,"(genetic manipulation of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P1b9a55d27386,Green genes from blue greens: challenges and solutions to unlocking the potential of cyanobacteria in drug discovery,10.1039/d5np00016e,40663385,2026,Natural product reports,genetic engineering of marine bacteria,"(genetic engineering of marine bacteria) AND (PUB_TYPE:""Review"")",open_access
Pd98ad993ab7e,Microbial biofilms: from ecology to molecular genetics,10.1128/mmbr.64.4.847-867.2000,11104821,2000,Microbiology and molecular biology reviews : MMBR,genetic engineering of marine bacteria,"(genetic engineering of marine bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P0b783b376723,Outer-membrane vesicles from Gram-negative bacteria: biogenesis and functions,10.1038/nrmicro3525,26373371,2015,Nature reviews. Microbiology,genetic engineering of marine bacteria,"(genetic engineering of marine bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P33f8b3b4e9ed,Occurrence and applications of CRISPR-Cas systems in bifidobacteria,10.1128/aem.01703-25,41489362,2026,Applied and environmental microbiology,microbial genetic toolbox,"(microbial genetic toolbox) AND (PUB_TYPE:""Review"")",open_access
P1f28d273406f,Advances in metabolic engineering of Vibrio natriegens as an unconventional host for biotechnology,10.1016/j.ymben.2025.08.008,40834994,2025,Metabolic engineering,microbial genetic toolbox,"(microbial genetic toolbox) AND (PUB_TYPE:""Review"")",not_open_access
P51d9b6f3b2fa,Innovative approaches in the treatment of hematologic malignancies: the role of CRISPR-engineered microbiomes along the gut-immune axis in immunotherapy development,10.1186/s12935-026-04316-0,42046057,2026,Cancer cell international,microbial genetic toolbox,"(microbial genetic toolbox) AND (PUB_TYPE:""Review"")",open_access
P1e356e2adc52,Plant microbiome engineering: from inoculation to genome editing,10.3389/fmicb.2026.1781381,42100688,2026,Frontiers in microbiology,genetic domestication of non-model microorganisms,"(genetic domestication of non-model microorganisms) AND (PUB_TYPE:""Review"")",open_access
Pc15655a94121,"Immunomicrobial pathogenesis of periodontitis: keystones, pathobionts, and host response",10.1016/j.it.2013.09.001,24269668,2014,Trends in immunology,genetic domestication of non-model microorganisms,"(genetic domestication of non-model microorganisms) AND (PUB_TYPE:""Review"")",not_open_access
Pe39c001cbc11,Mycobacterium tuberculosis pathogenesis and molecular determinants of virulence,10.1128/cmr.16.3.463-496.2003,12857778,2003,Clinical microbiology reviews,genetic domestication of non-model microorganisms,"(genetic domestication of non-model microorganisms) AND (PUB_TYPE:""Review"")",not_open_access
P4d88de93a618,Mapping the Evolution of Microbial-Driven Nitrogen Transformation in Inland Waters: A Bibliometric Landscape Analysis,10.3390/microorganisms14040902,42075298,2026,Microorganisms,transformation of environmental bacteria,"(transformation of environmental bacteria) AND (PUB_TYPE:""Review"")",open_access
Pa1192b603347,Structural Modification and Conjugation Strategies of Antimicrobial Peptides for Topical Anti-Infective Applications,10.3390/antibiotics15040390,42041353,2026,"Antibiotics (Basel, Switzerland)",conjugation in non-model bacteria,"(conjugation in non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P04df49a48d2c,Engineered Bacteriophages: A Next-Generation Platform for Precision Antimicrobials and Therapeutics,10.3390/v18030355,41902263,2026,Viruses,conjugation in non-model bacteria,"(conjugation in non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P2ff30596b549,Engineering host‑defense peptides enhanced by artificial intelligence and nano delivery systems to overcome biofilms and antimicrobial resistance,10.1016/j.engmic.2026.100277,42245225,2026,Engineering microbiology,conjugation in non-model bacteria,"(conjugation in non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P78224117e05d,"The Gut Microbiome Dependency Continuum in Drug Discovery: A Unified Pharmacology Framework Linking Clinical Drugs, Natural Products, and Engineered Microbial Therapeutics",10.3390/biotech15020043,42346015,2026,Biotech (Basel (Switzerland)),CRISPR engineering of non-model bacteria,"(CRISPR engineering of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P6259dce06a08,Synthetic biology of oncolytic bacteria: Comparative microbial chassis and precise killing strategies,10.1016/j.toxrep.2026.102292,42339179,2026,Toxicology reports,CRISPR engineering of non-model bacteria,"(CRISPR engineering of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
Pc3ef93167768,Advancing cellulose degradation through synthetic biology: engineered pathways and microbial systems for sustainable biomass conversion,10.1186/s40104-025-01328-0,41555463,2026,Journal of animal science and biotechnology,CRISPR engineering of non-model bacteria,"(CRISPR engineering of non-model bacteria) AND (PUB_TYPE:""Review"")",open_access
P99b5ea3cbd26,Challenges and Future Directives of Synthetic Biology in Engineering Plant-Microbe Partnerships for Sustainable Agriculture,10.1002/bit.70291,42437522,2026,Biotechnology and bioengineering,synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",not_open_access
P9c86844d5147,Microbial remodeling of bile acids: emerging engineering strategies for precision fermentation and functional food innovation,10.1016/j.copbio.2026.103572,42628489,2026,Current opinion in biotechnology,synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",not_open_access
P33bfa3eabcd8,"&lt;i&gt;Vibrio natriegens&lt;/i&gt;, a Promising Chassis from Strain Property to Protein Expression: A Review",10.1021/acssynbio.5c00761,41886740,2026,ACS synthetic biology,synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",not_open_access
P34dba3532211,Synthetic Biology Tools to Engineer Microbial Communities for Biotechnology,10.1016/j.tibtech.2018.11.002,30497870,2019,Trends in biotechnology,synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",open_access
P89a93444ae80,Phylogenetic identification and in situ detection of individual microbial cells without cultivation,10.1128/mr.59.1.143-169.1995,7535888,1995,Microbiological reviews,genetic tools for marine microorganisms,"(genetic tools for marine microorganisms) AND (PUB_TYPE:""Review"")",not_open_access
Pf8a51821d01d,Engineering rhizobacterial communities for soil and plant health,10.1099/mic.0.001748,42566244,2026,"Microbiology (Reading, England)",genetic systems for bacteria,"(genetic systems for bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pdc16b417b0e4,In situ genetic modification of gut bacteria,10.1016/j.mib.2026.102766,42288047,2026,Current opinion in microbiology,genetic systems for bacteria,"(genetic systems for bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P17f1ce5056fb,"Bioengineered bacteria in cancer immunotherapy: mechanistic advances, therapeutic strategies and clinical potential",10.1007/s00203-026-05030-1,42340392,2026,Archives of microbiology,genetic systems for bacteria,"(genetic systems for bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pcc535888285d,Phage and CRISPR based precision antimicrobials: a dual strategy against multidrug-resistant bacteria,10.1007/s11033-026-12544-w,42599326,2026,Molecular biology reports,genetic systems for bacteria,"(genetic systems for bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P36eeaf2d9fe9,Inter-species horizontal transfer of biosynthetic gene clusters: an evolutionary driver for chemical diversity in bacterial communities,10.1042/ebc20250014,41847751,2026,Essays in biochemistry,gene transfer systems in bacteria,"(gene transfer systems in bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pe8b39014aef2,Selective elimination of donor bacteria to analyze plasmid reactions during conjugative transfer,10.1093/biomethods/bpag038,42465973,2026,Biology methods & protocols,gene transfer systems in bacteria,"(gene transfer systems in bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P9ba5a6113c60,Functional genes with their expression and horizontal gene transfer drive microbial interactions in anammox systems: Critical review and potential applications,10.1016/j.biortech.2026.135245,42361922,2026,Bioresource technology,gene transfer systems in bacteria,"(gene transfer systems in bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pbddc202f8c33,"Mobile Genetic Elements as Central Drivers of Antimicrobial Resistance: Molecular Mechanisms, Evolutionary Ecology, One Health Implications and Control Strategies",10.3390/antibiotics15040418,42041381,2026,"Antibiotics (Basel, Switzerland)",gene transfer systems in bacteria,"(gene transfer systems in bacteria) AND (PUB_TYPE:""Review"")",open_access
Pa157be88f7dc,Advances in Genetic Transformation of Lactic Acid Bacteria: Overcoming Barriers and Enhancing Plasmid Tools,10.3390/ijms26189146,41009708,2025,International journal of molecular sciences,electroporation protocols for bacteria,"(electroporation protocols for bacteria) AND (PUB_TYPE:""Review"")",open_access
Pee622455635b,"CRISPR-Cas systems as next-generation antimicrobials: a systemic review of mechanisms, delivery strategies, and translational challenges",10.3389/fmicb.2026.1747931,42199538,2026,Frontiers in microbiology,electroporation protocols for bacteria,"(electroporation protocols for bacteria) AND (PUB_TYPE:""Review"")",open_access
P0d74e9942102,Strategies for engineering domesticated and undomesticated human microbes,10.1016/j.copbio.2025.103368,41046786,2025,Current opinion in biotechnology,electroporation protocols for bacteria,"(electroporation protocols for bacteria) AND (PUB_TYPE:""Review"")",open_access
P390814ae1247,Pathogenesis of Helicobacter pylori infection,10.1128/cmr.00054-05,16847081,2006,Clinical microbiology reviews,electroporation protocols for bacteria,"(electroporation protocols for bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pd221ccd64973,Mobile Genetic Elements as Key Drivers of Bacterial Evolution and Adaptation in Agroecosystems,10.1007/s00248-026-02803-5,42283811,2026,Microbial ecology,conjugative gene transfer in environmental bacteria,"(conjugative gene transfer in environmental bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P707c447a13cf,Horizontal Gene Transfer in &lt;i&gt;Listeria monocytogenes&lt;/i&gt;: Evolution of Antimicrobial Resistance and Virulence in a One Health Context,10.3390/biology15120961,42345817,2026,Biology,conjugative gene transfer in environmental bacteria,"(conjugative gene transfer in environmental bacteria) AND (PUB_TYPE:""Review"")",open_access
P52cfeb07a862,Genes and physiological strategies in bacterial antibiotic resistance,10.3389/fmicb.2026.1811959,42182029,2026,Frontiers in microbiology,conjugative gene transfer in environmental bacteria,"(conjugative gene transfer in environmental bacteria) AND (PUB_TYPE:""Review"")",open_access
Pa80e2f0d3394,CRISPR-Cas-Mediated Reprogramming Strategies to Overcome Antimicrobial Resistance,10.3390/pharmaceutics18010095,41599202,2026,Pharmaceutics,conjugative gene transfer in environmental bacteria,"(conjugative gene transfer in environmental bacteria) AND (PUB_TYPE:""Review"")",open_access
P2bfed47c2a72,"Microbial Dysbiosis in Photodermatoses: Formation, Pathogenesis and Intervention Strategies",10.3390/cimb48050493,42193098,2026,Current issues in molecular biology,genetic manipulation of cyanobacteria,"(genetic manipulation of cyanobacteria) AND (PUB_TYPE:""Review"")",open_access
Pa5972a45f8b8,"Cyanobacterial type I CRISPR-Cas systems: distribution, mechanisms, and genome editing applications",10.3389/fbioe.2025.1552030,40084131,2025,Frontiers in bioengineering and biotechnology,genetic manipulation of cyanobacteria,"(genetic manipulation of cyanobacteria) AND (PUB_TYPE:""Review"")",open_access
P220d442b92bb,Replication and control of circular bacterial plasmids,10.1128/mmbr.62.2.434-464.1998,9618448,1998,Microbiology and molecular biology reviews : MMBR,genetic manipulation of cyanobacteria,"(genetic manipulation of cyanobacteria) AND (PUB_TYPE:""Review"")",not_open_access
P251bcb1eae7d,The Dark Side of Green Energy: Glycol Waste and the Microbes That Can Transform It,10.3390/molecules31101662,42197216,2026,"Molecules (Basel, Switzerland)",genetic tools for anaerobic bacteria,"(genetic tools for anaerobic bacteria) AND (PUB_TYPE:""Review"")",open_access
P4fffee23a900,CRISPR-Cas in actinomycetes: still a lot to be discovered,10.1093/femsml/uqaf010,40626243,2025,microLife,genetic tools for actinomycetes,"(genetic tools for actinomycetes) AND (PUB_TYPE:""Review"")",open_access
P17c90126a0ed,Harnessing secondary metabolites of endophytic microbes: a next-generation biopesticide for crop disease management,10.3389/fmicb.2025.1705702,41657995,2025,Frontiers in microbiology,genetic tools for actinomycetes,"(genetic tools for actinomycetes) AND (PUB_TYPE:""Review"")",open_access
Pb34c0281f97e,Current Approaches for Genetic Manipulation of &lt;i&gt;Streptomyces&lt;/i&gt; spp.-Key Bacteria for Biotechnology and Environment,10.3390/biotech14010003,39846552,2025,Biotech (Basel (Switzerland)),genetic tools for actinomycetes,"(genetic tools for actinomycetes) AND (PUB_TYPE:""Review"")",open_access
Pa80fe8b5e9ca,Ecological Drivers of Plasmid-Mediated Antimicrobial Resistance in Aquaculture,10.1007/s00248-025-02684-0,41407993,2025,Microbial ecology,genetic tools for Vibrio species,"(genetic tools for Vibrio species) AND (PUB_TYPE:""Review"")",open_access
P4daf253be89a,Recombinant shrimp antimicrobial peptides as alternative biotherapeutics in aquaculture: An exploration of future prospects,,,2026,Comparative Immunology Reports,genetic tools for Vibrio species,"(genetic tools for Vibrio species) AND (PUB_TYPE:""Review"")",open_access
Paa4944eb49ab,Microbiome engineering to enhance disease resistance in aquaculture: current strategies and future directions,10.3389/fmicb.2025.1625265,41035886,2025,Frontiers in microbiology,genetic tools for Vibrio species,"(genetic tools for Vibrio species) AND (PUB_TYPE:""Review"")",open_access
P31e3d6fcefe4,Mobile Genetic Elements Associated with Antimicrobial Resistance,10.1128/cmr.00088-17,30068738,2018,Clinical microbiology reviews,genetic tools for Vibrio species,"(genetic tools for Vibrio species) AND (PUB_TYPE:""Review"")",not_open_access
P4e0b12154a9b,Microbial α-L-Rhamnosidases: Regioselective Biocatalysts for Flavonoid Biotransformation and Nutraceutical Applications,,,2026,Current issues in molecular biology,molecular genetics of marine microorganisms,"(molecular genetics of marine microorganisms) AND (PUB_TYPE:""Review"")",open_access
Pa77c605a11c2,Gene Silencing Through CRISPR Interference in Bacteria: Current Advances and Future Prospects,10.3389/fmicb.2021.635227,33868193,2021,Frontiers in microbiology,CRISPR interference in bacteria,"(CRISPR interference in bacteria) AND (PUB_TYPE:""Review"")",open_access
P2bc0fed0aebf,CRISPR-Cas systems as precision antimicrobials: Reversing the tide of antimicrobial resistance,10.1016/j.virusres.2026.199782,42551559,2026,Virus research,CRISPR interference in bacteria,"(CRISPR interference in bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P3b08815ddfeb,"CRISPR/Cas, the immune system of bacteria and archaea",10.1126/science.1179555,20056882,2010,"Science (New York, N.Y.)",CRISPR interference in bacteria,"(CRISPR interference in bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pac018f4a1d76,RNA-guided genetic silencing systems in bacteria and archaea,10.1038/nature10886,22337052,2012,Nature,CRISPR interference in bacteria,"(CRISPR interference in bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P17e892938d68,Emerging trends in genome integration tools for precision engineering of diverse bacterial species,10.1093/synbio/ysaf019,41492658,2025,"Synthetic biology (Oxford, England)",recombineering in bacteria,"(recombineering in bacteria) AND (PUB_TYPE:""Review"")",open_access
P8ce8ef75469c,Bacteriophage therapy against multidrug resistant bacterial infections demonstrates clinical advances and engineering innovations between 2020-2026,10.3389/fmicb.2026.1865548,42326420,2026,Frontiers in microbiology,recombineering in bacteria,"(recombineering in bacteria) AND (PUB_TYPE:""Review"")",open_access
Pb90ac5f05bb0,"Genome-Editing Tools for Lactic Acid Bacteria: Past Achievements, Current Platforms, and Future Directions",10.3390/ijms26157483,40806610,2025,International journal of molecular sciences,recombineering in bacteria,"(recombineering in bacteria) AND (PUB_TYPE:""Review"")",open_access
P7936d95e5b2b,"Synthetic and Functional Engineering of Bacteriophages: Approaches for Tailored Bactericidal, Diagnostic, and Delivery Platforms",10.3390/molecules30153132,40807307,2025,"Molecules (Basel, Switzerland)",recombineering in bacteria,"(recombineering in bacteria) AND (PUB_TYPE:""Review"")",open_access
Pe7d103fdc87b,Next-generation sequencing: insights to advance clinical investigations of the microbiome,10.1172/jci154944,35362479,2022,The Journal of clinical investigation,genetic engineering of unculturable bacteria,"(genetic engineering of unculturable bacteria) AND (PUB_TYPE:""Review"")",open_access
P1ad669a46fc0,"Microbiome and Human Health: Current Understanding, Engineering, and Enabling Technologies",10.1021/acs.chemrev.2c00431,36317983,2023,Chemical reviews,genetic engineering of unculturable bacteria,"(genetic engineering of unculturable bacteria) AND (PUB_TYPE:""Review"")",open_access
P29717972b796,Manipulating Bacterial Communities by in situ Microbiome Engineering,10.1016/j.tig.2016.01.005,26916078,2016,Trends in genetics : TIG,genetic engineering of unculturable bacteria,"(genetic engineering of unculturable bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pf419e8d029e9,Epigenetic regulation in prokaryotes: transcriptional and phenotypic outcomes of DNA methyltransferase activity,10.1093/femsre/fuag014,41874420,2026,FEMS microbiology reviews,restriction modification barriers to transformation,"(restriction modification barriers to transformation) AND (PUB_TYPE:""Review"")",open_access
P1e5797024b0c,Evolutionary constraints impose multiple checkpoints that block mammalian sensory hair cell regeneration,10.3389/fcell.2026.1835217,42245482,2026,Frontiers in cell and developmental biology,restriction modification barriers to transformation,"(restriction modification barriers to transformation) AND (PUB_TYPE:""Review"")",open_access
P477abfd65f61,"Microbial processes in geological carbon sequestration: Mechanisms, methods, and engineering implications",10.1016/j.isci.2026.115792,42164855,2026,iScience,genetic tools for methanogens,"(genetic tools for methanogens) AND (PUB_TYPE:""Review"")",open_access
Pc61008d5de4c,Harnessing Engineered Microbial Consortia for Xenobiotic Bioremediation: Integrating Multi-Omics and AI for Next-Generation Wastewater Treatment,10.3390/jox15040133,40863340,2025,Journal of xenobiotics,genetic tools for methanogens,"(genetic tools for methanogens) AND (PUB_TYPE:""Review"")",open_access
P10b29ad1d0e9,CRISPR-Cas at a crossroads: from microbial immunity to precision biotechnology,10.1080/15321819.2026.2658465,41987615,2026,Journal of immunoassay & immunochemistry,genetic tools for archaea,"(genetic tools for archaea) AND (PUB_TYPE:""Review"")",not_open_access
P730bda0cb438,Prodigal: prokaryotic gene recognition and translation initiation site identification,10.1186/1471-2105-11-119,20211023,2010,BMC bioinformatics,genetic tools for archaea,"(genetic tools for archaea) AND (PUB_TYPE:""Review"")",open_access
P1671b336ba4a,Process Engineering Strategies for Microbial Lipid Production: From Strain Evolution to Industrial-Scale Bioprocessing,10.3390/ijms27093760,42123346,2026,International journal of molecular sciences,domestication of industrial microorganisms,"(domestication of industrial microorganisms) AND (PUB_TYPE:""Review"")",open_access
P386705103884,Rational engineering of combinatorial bacterial therapies for cancer,10.1186/s13059-026-03951-0,41606628,2026,Genome biology,expanding the genetic toolbox of bacteria,"(expanding the genetic toolbox of bacteria) AND (PUB_TYPE:""Review"")",open_access
Pe4bd6f8da54b,"Engineered Escherichia coli as a microbial cell factory for intracellular protein delivery: strains, vectors, mechanisms, and therapeutic applications",10.1186/s12934-026-02944-9,41749288,2026,Microbial cell factories,expanding the genetic toolbox of bacteria,"(expanding the genetic toolbox of bacteria) AND (PUB_TYPE:""Review"")",open_access
P94183db28e9a,Pseudomonas putida as a functional chassis for industrial biocatalysis: From native biochemistry to trans-metabolism,10.1016/j.ymben.2018.05.005,29758287,2018,Metabolic engineering,synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",not_open_access
P32e22e45a39f,Developing a new class of engineered live bacterial therapeutics to treat human diseases,10.1038/s41467-020-15508-1,32269218,2020,Nature communications,synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",open_access
P107ffb9e5e13,Engineering bacteria as interactive cancer therapies,10.1126/science.add9667,36423303,2022,"Science (New York, N.Y.)",synthetic biology chassis development,"(synthetic biology chassis development) AND (PUB_TYPE:""Review"")",not_open_access
P449d74417fa6,CRISPR/Cas system as a novel therapeutic strategy to combat multi-drug-resistant bacteria,10.1007/s00203-026-05118-8,42554845,2026,Archives of microbiology,genetic systems for bacteria,"(genetic systems for bacteria) AND (PUB_TYPE:""Review"")",not_open_access
P18c634cca119,"Efflux-mediated carbapenem resistance: unveiling genetic drivers, clinical implications, and strategies for global antimicrobial stewardship",10.1007/s10482-026-02394-8,42545426,2026,Antonie van Leeuwenhoek,genetic systems for bacteria,"(genetic systems for bacteria) AND (PUB_TYPE:""Review"")",not_open_access
Pa460735990d9,"Agrobacterium-mediated plant transformation: the biology behind the ""gene-jockeying"" tool",10.1128/mmbr.67.1.16-37.2003,12626681,2003,Microbiology and molecular biology reviews : MMBR,electroporation protocols for bacteria,"(electroporation protocols for bacteria) AND (PUB_TYPE:""Review"")",not_open_access
